PMID,CONSORT_item,is_reported
2643592,5,Y
2643592,6a,Y
2643592,6b,N
2643592,7a,N
2643592,7b,N
2643592,8a,N
2643592,8b,N
2643592,9,N
2643592,10,N
2643592,11a,N
2643592,11b,N
2643592,12a,Y
2643592,12b,N
2643845,3a,Y
2643845,3b,N
2643845,4a,Y
2643845,4b,N
2643845,5,Y
2643845,6a,Y
2643845,6b,N
2643845,7a,N
2643845,7b,N
2643845,8a,N
2643845,8b,N
2643845,9,N
2643845,10,N
2643845,11a,Y
2643845,11b,Y
2643845,12a,N
2643845,12b,N
2643864,3a,N
2643864,3b,N
2643864,4a,Y
2643864,4b,N
2643864,5,Y
2643864,6a,Y
2643864,6b,N
2643864,7a,N
2643864,7b,N
2643864,8a,N
2643864,8b,N
2643864,9,N
2643864,10,N
2643864,11a,N
2643864,11b,N
2643864,12a,Y
2643864,12b,N
2643865,3a,Y
2643865,3b,N
2643865,4a,Y
2643865,4b,N
2643865,5,Y
2643865,6a,Y
2643865,6b,N
2643865,7a,N
2643865,7b,N
2643865,8a,Y
2643865,8b,N
2643865,9,N
2643865,10,N
2643865,11a,N
2643865,11b,N
2643865,12a,Y
2643865,12b,N
2643904,3a,Y
2643904,3b,N
2643904,4a,Y
2643904,4b,Y
2643904,5,Y
2643904,6a,Y
2643904,6b,N
2643904,7a,N
2643904,7b,N
2643904,8a,N
2643904,8b,N
2643904,9,N
2643904,10,N
2643904,11a,Y
2643904,11b,N
2643904,12a,Y
2643904,12b,N
2643965,3a,N
2643965,3b,N
2643965,4a,Y
2643965,4b,N
2643965,5,Y
2643965,6a,Y
2643965,6b,N
2643965,7a,N
2643965,7b,N
2643965,8a,N
2643965,8b,N
2643965,9,Y
2643965,10,N
2643965,11a,N
2643965,11b,N
2643965,12a,N
2643965,12b,N
2644144,3a,N
2644144,3b,N
2644144,4a,Y
2644144,4b,N
2644144,5,Y
2644144,6a,Y
2644144,6b,N
2644144,7a,N
2644144,7b,N
2644144,8a,Y
2644144,8b,Y
2644144,9,N
2644144,10,Y
2644144,11a,N
2644144,11b,N
2644144,12a,Y
2644144,12b,N
2644175,3a,N
2644175,3b,N
2644175,4a,N
2644175,4b,N
2644175,5,N
2644175,6a,Y
2644175,6b,N
2644175,7a,N
2644175,7b,N
2644175,8a,N
2644175,8b,N
2644175,9,N
2644175,10,N
2644175,11a,N
2644175,11b,N
2644175,12a,Y
2644175,12b,N
2644962,3a,N
2644962,3b,N
2644962,4a,N
2644962,4b,N
2644962,5,Y
2644962,6a,Y
2644962,6b,N
2644962,7a,N
2644962,7b,N
2644962,8a,N
2644962,8b,N
2644962,9,N
2644962,10,N
2644962,11a,Y
2644962,11b,N
2644962,12a,N
2644962,12b,N
2645313,3a,N
2645313,3b,N
2645313,4a,N
2645313,4b,N
2645313,5,Y
2645313,6a,Y
2645313,6b,N
2645313,7a,N
2645313,7b,N
2645313,8a,N
2645313,8b,N
2645313,9,N
2645313,10,N
2645313,11a,N
2645313,11b,N
2645313,12a,Y
2645313,12b,N
2645345,3a,N
2645345,3b,N
2645345,4a,N
2645345,4b,N
2645345,5,Y
2645345,6a,Y
2645345,6b,N
2645345,7a,N
2645345,7b,N
2645345,8a,N
2645345,8b,N
2645345,9,N
2645345,10,N
2645345,11a,N
2645345,11b,N
2645345,12a,Y
2645345,12b,N
2645385,3a,N
2645385,3b,N
2645385,4a,Y
2645385,4b,N
2645385,5,Y
2645385,6a,Y
2645385,6b,N
2645385,7a,N
2645385,7b,N
2645385,8a,N
2645385,8b,N
2645385,9,N
2645385,10,N
2645385,11a,N
2645385,11b,N
2645385,12a,Y
2645385,12b,N
2645886,3a,N
2645886,3b,N
2645886,4a,Y
2645886,4b,N
2645886,5,Y
2645886,6a,Y
2645886,6b,N
2645886,7a,N
2645886,7b,N
2645886,8a,N
2645886,8b,N
2645886,9,N
2645886,10,N
2645886,11a,N
2645886,11b,Y
2645886,12a,Y
2645886,12b,N
2645889,3a,Y
2645889,3b,N
2645889,4a,Y
2645889,4b,N
2645889,5,Y
2645889,6a,Y
2645889,6b,N
2645889,7a,N
2645889,7b,N
2645889,8a,N
2645889,8b,N
2645889,9,N
2645889,10,N
2645889,11a,N
2645889,11b,N
2645889,12a,Y
2645889,12b,N
2645933,3a,N
2645933,3b,N
2645933,4a,N
2645933,4b,N
2645933,5,Y
2645933,6a,Y
2645933,6b,N
2645933,7a,N
2645933,7b,N
2645933,8a,Y
2645933,8b,N
2645933,9,N
2645933,10,N
2645933,11a,Y
2645933,11b,N
2645933,12a,N
2645933,12b,N
2646252,3a,N
2646252,3b,N
2646252,4a,Y
2646252,4b,N
2646252,5,Y
2646252,6a,Y
2646252,6b,N
2646252,7a,N
2646252,7b,N
2646252,8a,N
2646252,8b,N
2646252,9,N
2646252,10,N
2646252,11a,N
2646252,11b,N
2646252,12a,N
2646252,12b,N
2646253,3a,N
2646253,3b,N
2646253,4a,Y
2646253,4b,N
2646253,5,N
2646253,6a,Y
2646253,6b,N
2646253,7a,N
2646253,7b,N
2646253,8a,N
2646253,8b,N
2646253,9,N
2646253,10,N
2646253,11a,N
2646253,11b,N
2646253,12a,N
2646253,12b,N
2646255,3a,N
2646255,3b,N
2646255,4a,Y
2646255,4b,N
2646255,5,Y
2646255,6a,Y
2646255,6b,N
2646255,7a,N
2646255,7b,N
2646255,8a,N
2646255,8b,N
2646255,9,N
2646255,10,N
2646255,11a,N
2646255,11b,N
2646255,12a,Y
2646255,12b,N
2646257,3a,N
2646257,3b,N
2646257,4a,Y
2646257,4b,N
2646257,5,Y
2646257,6a,Y
2646257,6b,N
2646257,7a,N
2646257,7b,N
2646257,8a,N
2646257,8b,N
2646257,9,N
2646257,10,N
2646257,11a,N
2646257,11b,N
2646257,12a,Y
2646257,12b,N
2646258,3a,N
2646258,3b,N
2646258,4a,N
2646258,4b,N
2646258,5,Y
2646258,6a,Y
2646258,6b,N
2646258,7a,N
2646258,7b,N
2646258,8a,N
2646258,8b,N
2646258,9,N
2646258,10,N
2646258,11a,N
2646258,11b,N
2646258,12a,Y
2646258,12b,N
2646266,3a,N
2646266,3b,N
2646266,4a,Y
2646266,4b,N
2646266,5,Y
2646266,6a,Y
2646266,6b,N
2646266,7a,N
2646266,7b,N
2646266,8a,N
2646266,8b,Y
2646266,9,N
2646266,10,N
2646266,11a,N
2646266,11b,N
2646266,12a,N
2646266,12b,N
2646895,3a,N
2646895,3b,N
2646895,4a,Y
2646895,4b,N
2646895,5,Y
2646895,6a,Y
2646895,6b,N
2646895,7a,N
